string,pred_old,preds
150 g old tom gin,old tom gin,old tom gin
150 g pear brandy,pear brandy,pear brandy
150 g pine liqueur,pine liqueur,pine liqueur
150 g punt e mes,punt e mes,punt e mes
150 g sage simple syrup,simple simple syrup,sage simple syrup
150 g scotch,scotch,scotch
150 g sparkling wine,sparkling wine,sparkling wine
"150 g strawberry, sliced",strawberry,shallots
150 g the king's ginger,the kings ginger,the kings
150 g vanilla simple syrup,vanilla simple syrup syrup,vanilla simple syrup
150 g vermouth,vermouth,vermouth
150 g whiskey,whiskey,whiskey
150 ml apple cider,apple cider,apple cider
150 ml aquavit,aquavit,aquavit
150 ml blanco tequila,blanco tequila,blanco tequila
150 ml brandy,brandy,brandy
150 ml brewed chamomile tea,brewed chamomile tea,brewed chamomile tea
150 ml cardamom pod,cardamom,cardamom pod
150 ml cardamom simple syrup,balsamic simple syrup,cardamom simple syrup
"150 ml celery, sliced",celery,cherry
150 ml champagne,champagne,champagne
150 ml coconut water,coconut water,coconut water
150 ml coffee,coffee,coffee
150 ml cointreau,cointreau,cointreau
150 ml cold water,water,cold water
150 ml evaporated milk,evaporated milk,evaporated milk
150 ml freshly squeezed lime juice,lime juice,freshly ground lime juice
150 ml ginger beer,ginger beer,ginger beer
150 ml ginger liqueur,ginger liqueur,ginger liqueur
"150 ml ginger, peeled",ginger,cherry
150 ml grand marnier,grand marnier,grand marnier
150 ml lemon juice (optional),lemon juice,lemon juice
150 ml lillet blanc,lillet blanc,lillet blanc
150 ml pisco,pisco,pisco
150 ml simple syrup,simple syrup,simple syrup
"150 ml simple syrup, made with honey instead of sugar",simple syrup,simple syrup
"150 ml sparkling wine, chilled",sparkling wine,sparkling champagne
150 ml spiced rum,spiced rum,spiced rum
150 ml tequila (optional),tequila,tequila
150 ml whipped cream,whipped cream,whipped cream
1500 g agave,agave,agave
1500 g ale,ale,ale
1500 g apple cider,apple cider,apple cider
1500 g averna,averna,averna
1500 g becherovka,becherovka,averna
1500 g bornholmer bitter,bornholmer bitter,bornholmer bitter
1500 g brewed chamomile tea,brewed chamomile tea,brewed chamomile tea
1500 g campari,campari,campari
"1500 g celery juice, fresh",celery juice,celery juice
1500 g cold water,water,cold
1500 g creme de cacao,creme de cacao,creme de cacao
1500 g dark rum,dark rum,dark rum
1500 g drinking vinegar,english vinegar,smoked vinegar
1500 g dry sherry,dry sherry,dry sherry
1500 g elderflower liqueur,elderflower liqueur,elderflower liqueur
1500 g freshly squeezed orange juice,orange juice,freshly orange orange juice
1500 g genever,genever,genever
1500 g ginger juice,ginger juice,ginger juice
1500 g grade B maple syrup,maple syrup,maple syrup
1500 g gran classico,gran classico,gran classico
1500 g granny smith apple cider,granny smith apple,granny smith apple
1500 g lavender simple syrup,lavender simple,ginger simple syrup
"1500 g lemon juice, freshly squeezed (optional)",lemon juice,lemon juice
1500 g lillet rouge,lillet rouge,lillet rouge
1500 g maraschino liqueur (optional),maraschino liqueur,maraschino liqueur
1500 g molasses,molasses,molasses
1500 g pineapple juice,pineapple juice,pineapple juice
1500 g raw sugar,sugar,raw sugar
1500 g sherry,sherry,sherry
1500 g whipped cream,whipped cream,whipped cream
1500 ml amber rum,amber rum,amber rum
1500 ml aperol,aperol,aperol
"1500 ml apple cider, fresh",apple cider,apple juice
1500 ml averna,averna,averna
"1500 ml cava, chilled (optional)",cava,seltzer
1500 ml dry vermouth,dry vermouth,dry vermouth
1500 ml fresh egg white,egg white,fresh egg white
1500 ml freshly squeezed lime juice,lime juice,freshly ground lime juice
"1500 ml ginger beer, room temperature",ginger beer,ginger beer
"1500 ml ginger juice, fresh",ginger juice,ginger beer
"1500 ml grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
1500 ml grenadine,grenadine,grenadine
1500 ml half and half,half and half,half and half
1500 ml hard cider,hard cider,hard cider
1500 ml lavender simple syrup,lavender simple,ginger simple syrup
"1500 ml lemon juice, freshly squeezed",lemon juice,lemon juice
1500 ml lillet blonde,lillet blonde,lillet blonde
"1500 ml mango, diced",mango,paddlefish
1500 ml maraschino liqueur (optional),maraschino liqueur,maraschino liqueur
1500 ml rum,rum,rum
1500 ml rye whiskey,rye whiskey,rye whiskey
1500 ml saint germain,saint germain,saint germain
1500 ml sparkling wine,sparkling wine,sparkling wine
"1500 ml sparkling wine, preferable moscato",sparkling wine,sparkling wine
1500 ml sugar,sugar,sugar
"1500 ml sweet sparkling wine, chilled",sparkling wine,sweet sparkling wine
1500 ml tequila,tequila,tequila
1500 ml vanilla simple syrup,vanilla simple syrup,vanilla simple syrup
"1500 ml water, boiling",water,eel
1500 ml whiskey,whiskey,whiskey
1500 ml whole milk,whole milk,whole milk
1500g amer picon,amer picon,amer picon
1500g angostura bitters,angostura bitters,angostura bitters
1500g aperol,aperol,aperol
"1500g apple cider, fresh",apple cider,apple schnapps
1500g apricot brandy,fresh brandy,apricot brandy
1500g basil simple syrup,simple simple syrup,ginger simple syrup
1500g brandy,brandy,brandy
1500g campari,campari,campari
1500g cava (optional),cava,cava
1500g club soda,club soda,club soda
1500g curacao,curacao,curacao
1500g cynar,twine,averna
1500g demerara simple syrup,simple simple syrup,demerara simple syrup
1500g dry curacao,dry curacao,hot curacao
1500g dry prosecco,prosecco,prosecco prosecco
1500g freshly squeezed lemon juice,lemon juice,freshly lemon juice
1500g galliano,guacamole,galliano
1500g ginger juice,ginger juice,ginger juice
1500g gran classico,gran classico,gran classico
"1500g kale juice, fresh",kale juice,kale juice
"1500g large lime juice, fresh",lime juice,large lime juice
1500g lemon juice (optional),lemon juice,lemon juice
1500g lillet blanc,lillet blanc,lillet blanc
1500g maraschino liqueur (optional),maraschino liqueur,maraschino liqueur
"1500g orange juice, freshly squeezed",lemon juice,orange juice
1500g orgeat,carrot,averna
1500g prepared spiced simple syrup,creme simple simple,spiced simple simple
1500g punt e mes,punt e mes,punt e mes
1500g rose champagne,rose champagne,rose champagne
1500g saint germain,saint germain,saint germain
1500g seltzer,seltzer,seltzer
1500g single-malt scotch,fritos,<OOV> malt
1500g sweet vermouth,sweet vermouth,sweet vermouth
1500g water,water,water
1500g white vermouth,white vermouth,white vermouth
1500ml amber rum,amber rum,amber rum
1500ml aperol,aperol,aperol
1500ml applejack,bourbon,applejack
1500ml aquavit,aquavit,aquavit
1500ml becherovka,fritos,averna
1500ml blanco tequila,blanco tequila,blanco tequila
1500ml chicory-infused rye whiskey,fresh simple,flaky infused rye whiskey
1500ml citrus vodka,citrus vodka,citrus vodka
1500ml cocchi americano,cocchi americano,cocchi americano
"1500ml coffee, hot (optional)",coffee,shallots
1500ml cold water,water,cold water
"1500ml cucumber juice, fresh",cucumber juice,cucumber juice
1500ml drinking vinegar,english sherry,smoked vinegar
"1500ml dry lambrusco, chilled",cola,dry vermouth
1500ml dry sherry,dry sherry,dry sherry
1500ml freshly squeezed lime juice,lime juice,freshly ground lime juice
1500ml ginger liqueur,ginger liqueur,ginger liqueur
1500ml half and half,half,half and half
1500ml irish whiskey,fresh brandy,irish whiskey
1500ml lavender simple syrup (optional),lavender simple,ginger simple syrup
1500ml lillet rouge,lillet rouge,lillet rouge
1500ml montenegro amaro,montenegro amaro,montenegro amaro
1500ml orange ginger simple syrup,ginger simple simple,ginger simple simple syrup
"1500ml orange juice, fresh (optional)",lemon juice,orange curacao
"1500ml orange juice, fresh squeezed",orange juice,orange curacao
1500ml pineapple juice,pineapple juice,pineapple juice
1500ml punt e mes,punt e mes,punt e mes
1500ml rooibos simple syrup,simple simple syrup,rooibos tea bag
1500ml sage simple syrup,simple simple syrup,sage simple syrup
1500ml sparkling wine,sparkling wine,sparkling wine
1500ml sugar,sugar,sugar
1500ml tomato juice,tomato juice,tomato juice
1500ml tonic water,tonic water,tonic water
1500ml whiskey,whiskey,whiskey
150g agave,agave,agave
150g aged rum,aged rum,aged rum
150g ale,ale,ale
150g amaretto,tarragon,amaretto
150g becherovka,fritos,averna
150g blanco tequila,blanco tequila,blanco tequila
150g campari,campari,campari
150g champagne,champagne,champagne
150g coconut water,coconut water,coconut water
150g demerara simple syrup,simple simple syrup,demerara simple syrup
"150g dry lambrusco, chilled",cola,dry sherry
"150g dry sparkling wine, chilled",sparkling wine,sparkling sparkling
150g evaporated milk,evaporated milk,evaporated milk
150g freshly squeezed lime juice,lime juice,freshly ground lime juice
150g galliano,guacamole,galliano
"150g ginger ale, chilled",ginger ale,ginger syrup
"150g ginger beer, room temperature",ginger beer,ginger beer
150g ginger juice,ginger juice,ginger juice
150g heavy cream,heavy cream,heavy cream
150g kale,tarragon,kale
150g lillet blanc,lillet blanc,lillet blanc
"150g mango, diced",mango,shallots
150g maple syrup,maple syrup,maple syrup
"150g orange juice, freshly squeezed",lemon juice,orange zest
150g pepper vodka,pepper vodka,pepper vodka
150g pomegranate molasses,pomegranate molasses,pomegranate molasses
150g rum,rum,rum
150g sparkling wine,sparkling wine,sparkling wine
"150g strawberry, sliced (optional)",strawberry,shallots
150g walnut liqueur,walnut liqueur,walnut liqueur
"150g water, hot",water,shallots
150g white rum,white rum,white rum
150ml agave nectar,agave nectar,agave nectar
150ml beet juice (optional),lemon juice,beet juice
150ml benedictine,benedictine,benedictine
150ml blanco tequila,blanco tequila,blanco tequila
150ml bornholmer bitter,bornholmer bitter,bornholmer bitter
150ml brandy,brandy,brandy
150ml cava,kiwi,cava
150ml Cointreau,farro,cointreau
150ml cold water,water,cold water
150ml dark rum,dark rum,dark rum
150ml double cream,sour cream,mexican cream
150ml elderflower liqueur,elderflower liqueur,elderflower liqueur
150ml freshly squeezed grapefruit juice,grapefruit juice,freshly grapefruit grapefruit juice
150ml gin,thyme,gin
150ml golden rum,golden rum,amber rum
150ml good-quality golden rum,golden raisins,the kings rum
150ml grand marnier,grand marnier,grand marnier
150ml granny smith apple cider,granny smith apple,granny smith cider
150ml grape simple syrup,orange simple syrup,grape grape syrup
"150ml grapefruit juice, fresh squeezed",grapefruit juice,grapefruit juice
150ml green chartreuse,green chartreuse,green chartreuse
150ml Jameson whiskey,citrus vodka,jameson whiskey
"150ml lemon juice, freshly squeezed",lemon juice,lemon juice
150ml lillet blonde (optional),lillet blonde,lillet blonde
150ml lillet rouge,lillet rouge,lillet rouge
150ml milk vodka (we used Black Cow),milk powder,citric acid
150ml old tom gin,old tom gin,old tom gin
150ml peach schnapps,peach schnapps,peach schnapps
"150ml pink grapefruit juice, fresh",pink grapefruit juice,pink grapefruit juice
150ml pomegranate molasses,pomegranate molasses,pomegranate molasses
150ml punt e mes,punt e mes,punt e mes
"150ml red grapefruit, fresh",red grapefruit,red onion
150ml red wine,red wine,red wine
150ml rum,rum,rum
"150ml seltzer, chilled",seltzer,chilled
"150ml simple syrup, made with honey instead of sugar",simple syrup,simple syrup
150ml sweet vermouth,sweet vermouth,sweet vermouth
150ml water,water,water
"150ml water, boiling",water,cherry
150ml white rum,white rum,white rum
150ml whole milk,whole milk,whole milk
15ml Aperol,aperol,aperol
15ml sugar syrup (see 'Goes well with' below),sugar syrup,sugar cube
15ml triple sec,triple sec,triple sec
16 fluid ounces (2 cups) half-and-half,tangerine,half and half
16 oz ice cube,ice cube,ice cube
16 oz rye whiskey,rye whiskey,rye whiskey
"16 oz seltzer, chilled",seltzer,seltzer
16 oz sour cream,sour cream,sour cream
"16 oz water, boiling",water,water
160g golden caster sugar,baby cherries,brown sugar
"170 g whole coffee bean, coarsely ground",coffee bean,whole coffee bean
175g ripe strawberries or 200g/8oz raspberries (or use a mix of 100g/4oz strawberries and 100g/4oz raspberries),cola,ripe sour
175ml chilled blood orange juice,blood orange juice,blood blood juice
175ml freshly squeezed orange juice,orange juice,orange juice
18 drops chocolate bitters (we used Fee brothers Aztec chocolate bitters),chocolate bitters,chocolate bitters
"18 leaf tarragon, fresh",tarragon,parsley
"18 medium cloves garlic, peeled",garlic,garlic garlic
"18 oz cocchi americano, chilled",cocchi americano,cocchi americano
"18 oz dry vermouth, chilled",dry vermouth,dry sherry
18 oz ruby port,ruby port,ruby port
18 to 20 whole cashews,cashews,whole cashews
19. Then add 1 teaspoon Kashmiri red chilli powder or deghi mirch. You can even add ½ teaspoon Kashmiri red chilli powder or ¼ to ½ teaspoon of cayenne pepper or paprika or any other variety of red chilli powder.,red pepper,freshly cut red
1kg pink rhubarb stalks,flax,pink poppy
1l bottle of soda water or tonic,rice soda,tonic cream
"1l bottle tonic water , to serve",tonic water,active rose
1l cloudy apple juice,grapefruit juice,apple juice juice
1l cranberry juice,cranberry juice,cranberry juice
1l ginger ale,ginger ale,ginger ale
1l good-quality cloudy apple juice,grapefruit juice,coarse apple juice
"1l sparkling water , chilled",maple maple,garlic rose
"1long cinnamon stick , snapped in half",cinnamon,cinnamon nutmeg
"2  (14-oz.) cans young jackfruit in brine, drained",fritos,plastic beans
2  bottle dry white wine,white wine,dried white wine
2  bottle seltzer,seltzer,seltzer
"2  clove medium garlic, thinly sliced",garlic,medium watermelons
2  cup ( grams) fresh cranberries,cranberries,fresh cranberries
2  cup apple schnapps,apple schnapps,apple schnapps
"2  cup beef broth, chilled",beef broth,beef broth
2  cup cocoa powder,cocoa powder,cocoa powder
2  cup coconut milk,coconut milk,coconut milk
2  cup concord grape,concord grape,concord grape
2  cup concord grape (optional),concord grape,concord grape
2  cup cranberry sauce,cranberry sauce,cranberry sauce
2  cup granulated sugar,granulated sugar,granulated sugar
2  cup granulated sugar (optional),granulated sugar,granulated sugar
2  cup heavy cream,heavy cream,heavy cream
2  cup mezcal,mezcal,mezcal
2  cup sugar,sugar,sugar
2  cup vodka,vodka,vodka
2  cup water,water,water
2  cups (ml) whole milk,whole milk,whole milk
2  dash angostura bitters,angostura bitters,angostura bitters
2  dash cayenne pepper,cayenne pepper,cayenne pepper
2  dash grapefruit bitters,grapefruit bitters,grapefruit bitters
"2  dash lemon juice, fresh",lemon juice,lemon juice
2  in cinnamon stick,cinnamon stick,cinnamon stick
2  large ice cube,ice cube,ice cube cube
"2  large yellow onion, thinly sliced",yellow onion,large yellow onion
